cve_id,cvss_score,confidentialityImpact,integrityImpact,availabilityImpact,epss,percentile,CISA KEV,Known Ransomware Campaign Use
CVE-2018-15784,7.4,HIGH,HIGH,NONE,0.00087,0.3741,no,
CVE-2018-15795,8.1,HIGH,HIGH,NONE,0.0008,0.35048,no,
CVE-2018-15797,8.8,HIGH,HIGH,HIGH,0.00262,0.66375,no,
CVE-2018-15800,6.8,HIGH,HIGH,NONE,0.00065,0.28998,no,
CVE-2018-15801,7.4,HIGH,HIGH,NONE,0.00141,0.50351,no,
CVE-2018-15869,5.3,NONE,LOW,NONE,0.0007,0.31231,no,
CVE-2018-15961,9.8,HIGH,HIGH,HIGH,0.97476,0.99974,yes,Unknown
CVE-2018-16179,5.9,HIGH,NONE,NONE,0.00074,0.32463,no,
CVE-2018-17877,7.5,HIGH,NONE,NONE,0.00588,0.78499,no,
CVE-2018-17889,5.3,HIGH,NONE,NONE,0.00428,0.74703,no,
CVE-2018-17892,8.8,HIGH,HIGH,HIGH,0.00384,0.73403,no,
CVE-2018-17900,9.8,HIGH,HIGH,HIGH,0.00235,0.6203,no,
CVE-2018-17908,7.8,HIGH,HIGH,HIGH,0.00059,0.25634,no,
CVE-2018-17910,7.8,HIGH,HIGH,HIGH,0.05968,0.9356,no,
CVE-2018-17911,7.8,HIGH,HIGH,HIGH,0.00306,0.70187,no,
CVE-2018-17924,8.6,NONE,NONE,HIGH,0.00052,0.21267,no,
CVE-2018-17934,9.8,HIGH,HIGH,HIGH,0.15389,0.95976,no,
CVE-2018-18641,9.8,HIGH,HIGH,HIGH,0.00205,0.58791,no,
CVE-2018-18665,7.5,NONE,HIGH,NONE,0.00232,0.61719,no,
CVE-2018-18667,7.5,NONE,HIGH,NONE,0.00232,0.61719,no,
CVE-2018-18956,7.5,NONE,NONE,HIGH,0.00539,0.77522,no,
CVE-2018-18987,8.8,HIGH,HIGH,HIGH,0.00425,0.74603,no,
CVE-2018-18990,5.3,LOW,NONE,NONE,0.91547,0.98945,no,
CVE-2018-18995,9.8,HIGH,HIGH,HIGH,0.00207,0.58995,no,
CVE-2018-19007,9.8,HIGH,HIGH,HIGH,0.00178,0.55547,no,
CVE-2018-19010,6.5,NONE,NONE,HIGH,0.00052,0.21266,no,
CVE-2018-19207,9.8,HIGH,HIGH,HIGH,0.97274,0.9988,no,
CVE-2018-19320,7.8,HIGH,HIGH,HIGH,0.00312,0.70494,yes,Known
CVE-2018-1956,7.5,HIGH,NONE,NONE,0.00142,0.50506,no,
CVE-2018-19830,7.5,NONE,HIGH,NONE,0.0007,0.31159,no,
CVE-2018-19831,7.5,NONE,HIGH,NONE,0.00082,0.35653,no,
CVE-2018-19833,7.5,NONE,HIGH,NONE,0.00082,0.35653,no,
CVE-2018-20062,9.8,HIGH,HIGH,HIGH,0.96918,0.99751,yes,Unknown
CVE-2018-20250,7.8,HIGH,HIGH,HIGH,0.97349,0.99913,yes,Known
CVE-2018-20753,9.8,HIGH,HIGH,HIGH,0.10562,0.95108,yes,Known
CVE-2018-20838,5.4,LOW,LOW,NONE,0.00081,0.35464,no,
CVE-2018-21091,7.5,NONE,NONE,HIGH,0.00082,0.35636,no,
CVE-2018-2628,9.8,HIGH,HIGH,HIGH,0.9751,0.99987,yes,Unknown
CVE-2018-2893,9.8,HIGH,HIGH,HIGH,0.97327,0.99904,no,
CVE-2018-2894,9.8,HIGH,HIGH,HIGH,0.97327,0.99904,no,
CVE-2018-5445,5.3,LOW,NONE,NONE,0.03603,0.91786,no,
CVE-2018-5451,9.8,HIGH,HIGH,HIGH,0.00333,0.71495,no,
CVE-2018-5454,8.1,HIGH,HIGH,HIGH,0.0084,0.82361,no,
CVE-2018-5459,9.8,HIGH,HIGH,HIGH,0.00209,0.59287,no,
CVE-2018-5463,7.8,HIGH,HIGH,HIGH,0.00044,0.1084,no,
CVE-2018-6112,4.3,LOW,NONE,NONE,0.01431,0.86745,no,
CVE-2018-7259,9.8,HIGH,HIGH,HIGH,0.00634,0.79374,no,
CVE-2018-7494,8.8,HIGH,HIGH,HIGH,0.01365,0.86449,no,
CVE-2018-7496,5.3,LOW,NONE,NONE,0.00057,0.2418,no,
CVE-2018-7499,9.8,HIGH,HIGH,HIGH,0.09269,0.94762,no,
CVE-2018-7500,9.8,HIGH,HIGH,HIGH,0.00193,0.57287,no,
CVE-2018-7506,7.5,HIGH,NONE,NONE,0.00142,0.5062,no,
CVE-2018-7513,5.3,LOW,LOW,LOW,0.00095,0.40579,no,
CVE-2018-7520,9.8,HIGH,HIGH,HIGH,0.15849,0.96031,no,
CVE-2018-7526,7.5,HIGH,NONE,NONE,0.00162,0.53359,no,
CVE-2018-7600,9.8,HIGH,HIGH,HIGH,0.97549,0.99998,yes,Known
CVE-2018-7602,9.8,HIGH,HIGH,HIGH,0.97284,0.99886,yes,Known
CVE-2018-8110,7.5,HIGH,HIGH,HIGH,0.06392,0.93772,no,
CVE-2018-8111,7.5,HIGH,HIGH,HIGH,0.06392,0.93772,no,
CVE-2018-8120,7.0,HIGH,HIGH,HIGH,0.97418,0.99944,yes,Known
CVE-2018-8160,6.5,HIGH,NONE,NONE,0.03584,0.91765,no,
CVE-2018-8174,7.5,HIGH,HIGH,HIGH,0.97417,0.99944,yes,Known
CVE-2018-8248,7.8,HIGH,HIGH,HIGH,0.29279,0.96961,no,
CVE-2018-8337,5.3,LOW,LOW,LOW,0.0006,0.25996,no,
CVE-2018-8353,7.5,HIGH,HIGH,HIGH,0.89653,0.98823,no,
CVE-2018-8355,7.5,HIGH,HIGH,HIGH,0.95711,0.99465,no,
CVE-2018-8414,8.8,HIGH,HIGH,HIGH,0.76707,0.98234,yes,Unknown
CVE-2018-8431,5.4,LOW,LOW,NONE,0.00471,0.75948,no,
CVE-2018-8440,7.8,HIGH,HIGH,HIGH,0.96832,0.99725,yes,Known
CVE-2018-8453,7.8,HIGH,HIGH,HIGH,0.95045,0.99345,yes,Known
CVE-2018-8489,8.4,HIGH,HIGH,HIGH,0.00392,0.73639,no,
CVE-2018-8575,7.8,HIGH,HIGH,HIGH,0.12997,0.95595,no,
CVE-2018-8589,7.8,HIGH,HIGH,HIGH,0.00129,0.48421,yes,Unknown
CVE-2018-8599,7.8,HIGH,HIGH,HIGH,0.00058,0.2477,no,
CVE-2018-8607,5.4,LOW,LOW,NONE,0.00217,0.60075,no,
CVE-2018-8611,7.8,HIGH,HIGH,HIGH,0.00078,0.34415,yes,Unknown
CVE-2018-8833,7.8,HIGH,HIGH,HIGH,0.02341,0.8995,no,
CVE-2018-8835,7.8,HIGH,HIGH,HIGH,0.00833,0.82287,no,
CVE-2018-8852,8.8,HIGH,HIGH,HIGH,0.00299,0.69831,no,
CVE-2018-9206,9.8,HIGH,HIGH,HIGH,0.96603,0.99657,no,
CVE-2018-9488,7.8,HIGH,HIGH,HIGH,0.00045,0.16635,no,
CVE-2018-9862,7.8,HIGH,HIGH,HIGH,0.00044,0.13063,no,
CVE-2017-0005,7.8,HIGH,HIGH,HIGH,0.00135,0.4952,yes,Unknown
CVE-2017-0022,6.5,HIGH,NONE,NONE,0.78472,0.983,yes,Unknown
CVE-2017-0149,8.8,HIGH,HIGH,HIGH,0.50916,0.97587,yes,Unknown
CVE-2017-0176,8.1,HIGH,HIGH,HIGH,0.80154,0.9835,no,
CVE-2017-0199,7.8,HIGH,HIGH,HIGH,0.97518,0.9999,yes,Known
CVE-2017-0213,7.3,HIGH,HIGH,HIGH,0.01982,0.88989,yes,Known
CVE-2017-0222,8.8,HIGH,HIGH,HIGH,0.58447,0.97787,yes,Unknown
CVE-2017-0261,7.8,HIGH,HIGH,HIGH,0.93484,0.99139,yes,Unknown
CVE-2017-0262,7.8,HIGH,HIGH,HIGH,0.39057,0.97294,yes,Unknown
CVE-2017-0263,7.8,HIGH,HIGH,HIGH,0.59158,0.97801,yes,Unknown
CVE-2017-0493,5.5,HIGH,NONE,NONE,0.00069,0.30727,no,
CVE-2017-1001000,7.5,NONE,HIGH,NONE,0.45568,0.97469,no,
CVE-2017-10271,7.5,NONE,NONE,HIGH,0.97182,0.99845,yes,Known
CVE-2017-10810,7.5,NONE,NONE,HIGH,0.0066,0.79884,no,
CVE-2017-10910,6.5,NONE,NONE,HIGH,0.0012,0.46931,no,
CVE-2017-11368,6.5,NONE,NONE,HIGH,0.00208,0.59155,no,
CVE-2017-11774,7.8,HIGH,HIGH,HIGH,0.88567,0.98757,yes,Unknown
CVE-2017-11826,7.8,HIGH,HIGH,HIGH,0.95845,0.99486,yes,Unknown
CVE-2017-11847,7.8,HIGH,HIGH,HIGH,0.00404,0.73997,no,
CVE-2017-11882,7.8,HIGH,HIGH,HIGH,0.97437,0.99955,yes,Known
CVE-2017-12637,7.5,HIGH,NONE,NONE,0.02322,0.8991,no,
CVE-2017-1274,8.8,HIGH,HIGH,HIGH,0.00689,0.80387,no,
CVE-2017-12817,7.5,HIGH,NONE,NONE,0.00124,0.47501,no,
CVE-2017-12824,7.8,HIGH,HIGH,HIGH,0.00092,0.39924,no,
CVE-2017-13289,7.8,HIGH,HIGH,HIGH,0.00042,0.05034,no,
CVE-2017-14323,9.8,HIGH,HIGH,HIGH,0.00917,0.83118,no,
CVE-2017-14486,7.5,HIGH,NONE,NONE,0.00286,0.69169,no,
CVE-2017-14487,9.1,HIGH,HIGH,NONE,0.00311,0.70442,no,
CVE-2017-14934,5.5,NONE,NONE,HIGH,0.0033,0.71388,no,
CVE-2017-15211,4.3,NONE,LOW,NONE,0.00129,0.48377,no,
CVE-2017-15919,9.8,HIGH,HIGH,HIGH,0.00306,0.70182,no,
CVE-2017-16115,7.5,NONE,NONE,HIGH,0.00105,0.4338,no,
CVE-2017-16651,7.8,HIGH,HIGH,HIGH,0.01484,0.86994,yes,Unknown
CVE-2017-18362,9.8,HIGH,HIGH,HIGH,0.04914,0.92902,yes,Known
CVE-2017-2404,7.5,NONE,HIGH,NONE,0.00301,0.6992,no,
CVE-2017-3066,9.8,HIGH,HIGH,HIGH,0.90956,0.98908,no,
CVE-2017-3881,9.8,HIGH,HIGH,HIGH,0.97481,0.99977,yes,Unknown
CVE-2017-5613,7.8,HIGH,HIGH,HIGH,0.018,0.88336,no,
CVE-2017-5638,9.8,HIGH,HIGH,HIGH,0.96609,0.99659,yes,Known
CVE-2017-6922,6.5,HIGH,NONE,NONE,0.00366,0.7279,no,
CVE-2017-7533,7.0,HIGH,HIGH,HIGH,0.00059,0.25745,no,
CVE-2017-8291,7.8,HIGH,HIGH,HIGH,0.5219,0.97623,yes,Unknown
CVE-2017-8464,8.8,HIGH,HIGH,HIGH,0.9747,0.99971,yes,Unknown
CVE-2017-8543,9.8,HIGH,HIGH,HIGH,0.45986,0.97476,yes,Unknown
CVE-2017-8570,7.8,HIGH,HIGH,HIGH,0.97307,0.99895,yes,Unknown
CVE-2017-8759,7.8,HIGH,HIGH,HIGH,0.97154,0.99834,yes,Unknown
CVE-2017-9142,6.5,NONE,NONE,HIGH,0.00453,0.75508,no,
CVE-2017-9841,9.8,HIGH,HIGH,HIGH,0.97479,0.99976,yes,Unknown
CVE-2016-0034,8.8,HIGH,HIGH,HIGH,0.71645,0.98109,yes,Known
CVE-2016-0099,7.8,HIGH,HIGH,HIGH,0.01238,0.85679,yes,Known
CVE-2016-0165,7.8,HIGH,HIGH,HIGH,0.00826,0.82215,yes,Unknown
CVE-2016-0167,7.8,HIGH,HIGH,HIGH,0.01219,0.8556,yes,Known
CVE-2016-0728,7.8,HIGH,HIGH,HIGH,0.00042,0.00352,no,
CVE-2016-1409,7.5,NONE,NONE,HIGH,0.01548,0.87338,no,
CVE-2016-2208,9.1,NONE,HIGH,HIGH,0.92356,0.99019,no,
CVE-2016-3088,9.8,HIGH,HIGH,HIGH,0.96658,0.99674,yes,Unknown
CVE-2016-3298,6.5,HIGH,NONE,NONE,0.59859,0.97819,yes,Unknown
CVE-2016-3351,6.5,HIGH,NONE,NONE,0.70722,0.98083,yes,Known
CVE-2016-3393,7.8,HIGH,HIGH,HIGH,0.75872,0.98214,yes,Unknown
CVE-2016-3714,8.4,HIGH,HIGH,HIGH,0.96652,0.99671,no,
CVE-2016-4655,5.5,HIGH,NONE,NONE,0.49424,0.97546,yes,Unknown
CVE-2016-4656,7.8,HIGH,HIGH,HIGH,0.07173,0.94104,yes,Unknown
CVE-2016-5062,9.8,HIGH,HIGH,HIGH,0.00536,0.77479,no,
CVE-2016-5180,9.8,HIGH,HIGH,HIGH,0.04517,0.92599,no,
CVE-2016-5195,7.0,HIGH,HIGH,HIGH,0.81662,0.98426,yes,Unknown
CVE-2016-5645,7.3,LOW,LOW,LOW,0.135,0.95685,no,
CVE-2016-6366,8.8,HIGH,HIGH,HIGH,0.96864,0.99734,yes,Unknown
CVE-2016-6367,7.8,HIGH,HIGH,HIGH,0.96394,0.99599,yes,Unknown
CVE-2016-6415,7.5,HIGH,NONE,NONE,0.97286,0.99887,yes,Unknown
CVE-2016-6909,9.8,HIGH,HIGH,HIGH,0.9619,0.99551,no,
CVE-2016-7189,7.5,HIGH,HIGH,HIGH,0.91464,0.98939,no,
CVE-2016-7193,7.8,HIGH,HIGH,HIGH,0.73525,0.98159,yes,Unknown
CVE-2016-7255,7.8,HIGH,HIGH,HIGH,0.02689,0.9061,yes,Unknown
CVE-2016-7256,8.8,HIGH,HIGH,HIGH,0.83752,0.98519,yes,Unknown
CVE-2016-9079,7.5,HIGH,NONE,NONE,0.95868,0.9949,yes,Unknown
CVE-2016-9192,7.8,HIGH,HIGH,HIGH,0.00042,0.05034,no,
CVE-2016-9299,9.8,HIGH,HIGH,HIGH,0.6329,0.97904,no,
CVE-2016-9684,9.8,HIGH,HIGH,HIGH,0.05889,0.93516,no,
CVE-2015-0016,7.8,HIGH,HIGH,HIGH,0.88772,0.98768,yes,Unknown
CVE-2015-0071,6.5,NONE,HIGH,NONE,0.08371,0.94485,yes,Unknown
CVE-2015-0072,4.3,NONE,PARTIAL,NONE,0.97208,0.99854,no,
CVE-2015-0096,9.3,COMPLETE,COMPLETE,COMPLETE,0.97254,0.99873,no,
CVE-2015-0984,10.0,COMPLETE,COMPLETE,COMPLETE,0.01518,0.87201,no,
CVE-2015-1494,4.3,NONE,PARTIAL,NONE,0.00526,0.77247,no,
CVE-2015-1539,10.0,COMPLETE,COMPLETE,COMPLETE,0.32253,0.97072,no,
CVE-2015-1641,7.8,HIGH,HIGH,HIGH,0.89,0.98783,yes,Unknown
CVE-2015-1642,7.8,HIGH,HIGH,HIGH,0.86732,0.98651,yes,Unknown
CVE-2015-1701,7.8,HIGH,HIGH,HIGH,0.37185,0.97239,yes,Known
CVE-2015-1769,7.2,COMPLETE,COMPLETE,COMPLETE,0.0014,0.50263,yes,Unknown
CVE-2015-1805,7.2,COMPLETE,COMPLETE,COMPLETE,0.00044,0.10481,no,
CVE-2015-2360,7.2,COMPLETE,COMPLETE,COMPLETE,0.00084,0.36453,yes,Unknown
CVE-2015-2387,7.8,HIGH,HIGH,HIGH,0.00113,0.45258,yes,Unknown
CVE-2015-2419,8.8,HIGH,HIGH,HIGH,0.96584,0.99653,yes,Unknown
CVE-2015-2424,8.8,HIGH,HIGH,HIGH,0.28735,0.96929,yes,Unknown
CVE-2015-2425,8.8,HIGH,HIGH,HIGH,0.7937,0.98323,yes,Unknown
CVE-2015-2426,9.3,COMPLETE,COMPLETE,COMPLETE,0.97356,0.99916,yes,Unknown
CVE-2015-2502,8.8,HIGH,HIGH,HIGH,0.92212,0.99003,yes,Unknown
CVE-2015-2509,9.3,COMPLETE,COMPLETE,COMPLETE,0.97308,0.99896,no,
CVE-2015-2546,6.9,COMPLETE,COMPLETE,COMPLETE,0.00367,0.72836,yes,Known
CVE-2015-2590,9.8,HIGH,HIGH,HIGH,0.0315,0.91249,yes,Unknown
CVE-2015-2945,7.5,PARTIAL,PARTIAL,PARTIAL,0.00977,0.83647,no,
CVE-2015-3864,10.0,COMPLETE,COMPLETE,COMPLETE,0.97063,0.99799,no,
CVE-2015-4051,9.0,PARTIAL,PARTIAL,COMPLETE,0.02336,0.89933,no,
CVE-2015-4902,5.0,NONE,PARTIAL,NONE,0.00906,0.83013,yes,Unknown
CVE-2015-5123,9.8,HIGH,HIGH,HIGH,0.56191,0.97724,yes,Unknown
CVE-2015-6175,7.8,HIGH,HIGH,HIGH,0.00208,0.59123,yes,Unknown
CVE-2015-6475,4.3,NONE,PARTIAL,NONE,0.0046,0.75694,no,
CVE-2015-6480,8.3,LOW,LOW,LOW,0.04897,0.92893,no,
CVE-2015-6585,7.8,HIGH,HIGH,HIGH,0.02196,0.89596,no,
CVE-2015-7755,10.0,COMPLETE,COMPLETE,COMPLETE,0.97054,0.99796,no,
CVE-2015-7756,5.0,PARTIAL,NONE,NONE,0.02583,0.9043,no,
CVE-2015-7910,7.8,COMPLETE,NONE,NONE,0.00297,0.69755,no,
CVE-2015-7912,10.0,COMPLETE,COMPLETE,COMPLETE,0.11706,0.95379,no,
CVE-2015-7925,8.0,HIGH,HIGH,HIGH,0.0025,0.65441,no,
CVE-2015-7931,8.7,HIGH,HIGH,NONE,0.00128,0.48292,no,
CVE-2015-7935,7.5,HIGH,NONE,NONE,0.00269,0.68178,no,
CVE-2015-8562,7.5,PARTIAL,PARTIAL,PARTIAL,0.97254,0.99872,no,
CVE-2014-0050,7.5,PARTIAL,PARTIAL,PARTIAL,0.19118,0.96332,no,
CVE-2014-0266,7.1,COMPLETE,NONE,NONE,0.96517,0.99633,no,
CVE-2014-0295,4.3,NONE,PARTIAL,NONE,0.03434,0.91602,no,
CVE-2014-0307,9.3,COMPLETE,COMPLETE,COMPLETE,0.97263,0.99874,no,
CVE-2014-0322,8.8,HIGH,HIGH,HIGH,0.97231,0.99864,yes,Unknown
CVE-2014-0324,9.3,COMPLETE,COMPLETE,COMPLETE,0.89447,0.98812,no,
CVE-2014-0593,9.8,HIGH,HIGH,HIGH,0.01304,0.86095,no,
CVE-2014-0751,7.5,PARTIAL,PARTIAL,PARTIAL,0.41383,0.97358,no,
CVE-2014-0810,7.5,PARTIAL,PARTIAL,PARTIAL,0.07023,0.94051,no,
CVE-2014-1761,7.8,HIGH,HIGH,HIGH,0.63601,0.97909,yes,Unknown
CVE-2014-1776,9.8,HIGH,HIGH,HIGH,0.95988,0.99511,yes,Unknown
CVE-2014-1807,7.2,COMPLETE,COMPLETE,COMPLETE,0.00045,0.1661,no,
CVE-2014-1809,6.8,PARTIAL,PARTIAL,PARTIAL,0.00656,0.79791,no,
CVE-2014-1812,9.0,COMPLETE,COMPLETE,COMPLETE,0.00374,0.73063,yes,Unknown
CVE-2014-1815,9.3,COMPLETE,COMPLETE,COMPLETE,0.9623,0.99559,no,
CVE-2014-2817,8.8,HIGH,HIGH,HIGH,0.15675,0.96012,yes,Unknown
CVE-2014-3413,9.8,HIGH,HIGH,HIGH,0.00513,0.76917,no,
CVE-2014-3566,3.4,LOW,NONE,NONE,0.97488,0.9998,no,
CVE-2014-4076,7.2,COMPLETE,COMPLETE,COMPLETE,0.0005,0.20407,no,
CVE-2014-4077,7.8,HIGH,HIGH,HIGH,0.12477,0.95518,yes,Unknown
CVE-2014-4113,7.8,HIGH,HIGH,HIGH,0.67733,0.98011,yes,Unknown
CVE-2014-4114,7.8,HIGH,HIGH,HIGH,0.96641,0.99667,yes,Unknown
CVE-2014-4123,8.8,HIGH,HIGH,HIGH,0.35844,0.97205,yes,Unknown
CVE-2014-4148,8.8,HIGH,HIGH,HIGH,0.49823,0.97562,yes,Unknown
CVE-2014-5279,8.8,HIGH,HIGH,HIGH,0.00299,0.69855,no,
CVE-2014-5334,9.8,HIGH,HIGH,HIGH,0.00599,0.78685,no,
CVE-2014-6120,9.8,HIGH,HIGH,HIGH,0.00202,0.58596,no,
CVE-2014-6271,9.8,HIGH,HIGH,HIGH,0.97365,0.9992,yes,Unknown
CVE-2014-6277,10.0,COMPLETE,COMPLETE,COMPLETE,0.97256,0.99874,no,
CVE-2014-6278,10.0,COMPLETE,COMPLETE,COMPLETE,0.97296,0.9989,no,
CVE-2014-6287,9.8,HIGH,HIGH,HIGH,0.97331,0.99905,yes,Unknown
CVE-2014-6293,7.5,PARTIAL,PARTIAL,PARTIAL,0.00184,0.56214,no,
CVE-2014-6324,8.8,HIGH,HIGH,HIGH,0.96017,0.99516,yes,Unknown
CVE-2014-6332,9.3,COMPLETE,COMPLETE,COMPLETE,0.97316,0.999,yes,Unknown
CVE-2014-6352,7.8,HIGH,HIGH,HIGH,0.95446,0.9942,yes,Unknown
CVE-2014-7169,9.8,HIGH,HIGH,HIGH,0.87505,0.98699,yes,Unknown
CVE-2014-7186,10.0,COMPLETE,COMPLETE,COMPLETE,0.97467,0.9997,no,
CVE-2014-7187,10.0,COMPLETE,COMPLETE,COMPLETE,0.97281,0.99885,no,
CVE-2014-7235,10.0,COMPLETE,COMPLETE,COMPLETE,0.89056,0.98785,no,
CVE-2014-7247,10.0,COMPLETE,COMPLETE,COMPLETE,0.02705,0.90639,no,
CVE-2014-8551,10.0,COMPLETE,COMPLETE,COMPLETE,0.01456,0.86866,no,
CVE-2014-9938,8.8,HIGH,HIGH,HIGH,0.00782,0.81673,no,
CVE-2013-0422,10.0,COMPLETE,COMPLETE,COMPLETE,0.97245,0.99867,yes,Unknown
CVE-2013-0625,9.8,HIGH,HIGH,HIGH,0.58371,0.97786,yes,Unknown
CVE-2013-0629,7.5,HIGH,NONE,NONE,0.92087,0.98988,yes,Unknown
CVE-2013-0631,7.5,HIGH,NONE,NONE,0.8232,0.98455,yes,Unknown
CVE-2013-0632,9.8,HIGH,HIGH,HIGH,0.97094,0.99812,yes,Unknown
CVE-2013-0640,7.8,HIGH,HIGH,HIGH,0.92624,0.99052,yes,Unknown
CVE-2013-0641,7.8,HIGH,HIGH,HIGH,0.81442,0.98414,yes,Unknown
CVE-2013-0707,9.3,COMPLETE,COMPLETE,COMPLETE,0.00708,0.80682,no,
CVE-2013-1289,4.3,NONE,PARTIAL,NONE,0.92874,0.99078,no,
CVE-2013-1331,7.8,HIGH,HIGH,HIGH,0.95445,0.99419,yes,Unknown
CVE-2013-1493,10.0,COMPLETE,COMPLETE,COMPLETE,0.96416,0.99604,no,
CVE-2013-1904,5.0,PARTIAL,NONE,NONE,0.00454,0.75535,no,
CVE-2013-2423,4.3,NONE,PARTIAL,NONE,0.96738,0.99696,yes,Unknown
CVE-2013-2465,10.0,COMPLETE,COMPLETE,COMPLETE,0.87826,0.98716,yes,Known
CVE-2013-2471,10.0,COMPLETE,COMPLETE,COMPLETE,0.9457,0.99275,no,
CVE-2013-3163,8.8,HIGH,HIGH,HIGH,0.95847,0.99486,yes,Unknown
CVE-2013-3336,5.0,PARTIAL,NONE,NONE,0.97164,0.99838,no,
CVE-2013-3644,10.0,COMPLETE,COMPLETE,COMPLETE,0.02655,0.90547,no,
CVE-2013-3660,7.8,HIGH,HIGH,HIGH,0.82861,0.98478,yes,Unknown
CVE-2013-3893,9.3,COMPLETE,COMPLETE,COMPLETE,0.96852,0.9973,no,
CVE-2013-3897,8.8,HIGH,HIGH,HIGH,0.96723,0.99691,yes,Unknown
CVE-2013-3900,7.6,COMPLETE,COMPLETE,COMPLETE,0.75612,0.98207,yes,Unknown
CVE-2013-3906,7.8,HIGH,HIGH,HIGH,0.96638,0.99666,yes,Unknown
CVE-2013-3918,9.3,COMPLETE,COMPLETE,COMPLETE,0.96212,0.99555,no,
CVE-2013-4335,9.8,HIGH,HIGH,HIGH,0.00894,0.82902,no,
CVE-2013-4854,7.8,NONE,NONE,COMPLETE,0.95342,0.99399,no,
CVE-2013-5054,4.3,PARTIAL,NONE,NONE,0.02236,0.8971,no,
CVE-2013-5057,4.3,NONE,PARTIAL,NONE,0.56077,0.97722,no,
CVE-2013-5065,7.8,HIGH,HIGH,HIGH,0.43239,0.97407,yes,Unknown
CVE-2013-5211,5.0,NONE,NONE,PARTIAL,0.96433,0.99609,no,
CVE-2013-5576,6.8,PARTIAL,PARTIAL,PARTIAL,0.79864,0.98341,no,
CVE-2013-6129,7.5,PARTIAL,PARTIAL,PARTIAL,0.71342,0.98102,no,
CVE-2013-6282,7.2,COMPLETE,COMPLETE,COMPLETE,0.02354,0.89978,yes,Unknown
CVE-2013-7102,6.8,PARTIAL,PARTIAL,PARTIAL,0.20099,0.96414,no,
CVE-2013-7246,9.3,COMPLETE,COMPLETE,COMPLETE,0.26955,0.96838,no,
CVE-2013-7372,5.0,NONE,PARTIAL,NONE,0.0028,0.68787,no,
CVE-2012-0158,8.8,HIGH,HIGH,HIGH,0.97421,0.99946,yes,Unknown
CVE-2012-0181,7.2,COMPLETE,COMPLETE,COMPLETE,0.00066,0.29625,no,
CVE-2012-0874,6.8,PARTIAL,PARTIAL,PARTIAL,0.05799,0.93467,no,
CVE-2012-1557,7.5,PARTIAL,PARTIAL,PARTIAL,0.00426,0.74634,no,
CVE-2012-1675,7.5,PARTIAL,PARTIAL,PARTIAL,0.97368,0.99922,no,
CVE-2012-1723,9.8,HIGH,HIGH,HIGH,0.96532,0.99639,yes,Known
CVE-2012-1795,7.5,PARTIAL,PARTIAL,PARTIAL,0.0153,0.8725,no,
CVE-2012-1854,6.9,COMPLETE,COMPLETE,COMPLETE,0.00046,0.17657,no,
CVE-2012-1856,8.8,HIGH,HIGH,HIGH,0.92424,0.99032,yes,Unknown
CVE-2012-2311,7.5,PARTIAL,PARTIAL,PARTIAL,0.93715,0.99163,no,
CVE-2012-2319,7.2,COMPLETE,COMPLETE,COMPLETE,0.00042,0.05061,no,
CVE-2012-2520,4.3,NONE,PARTIAL,NONE,0.40132,0.97325,no,
CVE-2012-2539,7.8,HIGH,HIGH,HIGH,0.9533,0.99397,yes,Unknown
CVE-2012-3015,6.9,COMPLETE,COMPLETE,COMPLETE,0.00052,0.21256,no,
CVE-2012-3213,10.0,COMPLETE,COMPLETE,COMPLETE,0.07644,0.94246,no,
CVE-2012-4681,10.0,COMPLETE,COMPLETE,COMPLETE,0.97516,0.99989,yes,Unknown
CVE-2012-5958,10.0,COMPLETE,COMPLETE,COMPLETE,0.97418,0.99945,no,
CVE-2012-6081,6.0,PARTIAL,PARTIAL,PARTIAL,0.95472,0.99425,no,
CVE-2012-6467,4.3,NONE,PARTIAL,NONE,0.00245,0.65074,no,
CVE-2012-6498,6.8,PARTIAL,PARTIAL,PARTIAL,0.0821,0.94437,no,
CVE-2012-6685,7.5,HIGH,NONE,NONE,0.00182,0.55976,no,
